10th_percent,12th_percent,jee_rank,gender,experience,engineering_field,college_tier,salary
77.6,77.5,27690,Male,5,Electronics,State College,561925
76.1,72.0,15637,Female,3,Mechanical,State College,778003
84.0,90.9,8935,Female,3,Electronics,NIT,1508288
87.4,89.0,10617,Female,10,Computer Science,State College,1159923
81.7,78.7,25360,Male,3,Mechanical,State College,359116
81.9,81.4,182655,Male,2,Computer Science,NIT,811607
78.9,74.5,25203,Female,5,Electronics,Private College,250000
84.3,80.7,41750,Male,3,Electrical,State College,981987
94.6,81.4,56871,Male,4,Mechanical,NIT,836414
74.3,70.7,26422,Male,2,Computer Science,State College,754332
82.0,85.0,106321,Male,5,Electronics,Mid IIT,1968082
80.4,81.7,9982,Male,10,Computer Science,NIT,2209485
78.6,71.8,9126,Female,10,Electrical,State College,250000
86.9,83.0,1516,Male,7,Electrical,State College,250000
89.3,85.9,3547,Male,10,Computer Science,NIT,1497232
68.2,71.3,48507,Male,9,Mechanical,NIT,593643
80.7,79.5,18006,Male,2,Civil,State College,662237
93.5,80.9,7335,Male,6,Civil,NIT,644597
70.8,68.9,23238,Male,3,Computer Science,State College,449740
71.9,73.9,140135,Female,9,Computer Science,NIT,1739297
71.6,75.6,15106,Male,2,Electronics,State College,435877
85.2,82.8,105004,Male,6,Electrical,NIT,1369078
92.5,86.7,431,Male,4,Electronics,NIT,1628892
86.1,87.5,25782,Female,7,Mechanical,State College,250000
86.1,80.4,2328,Male,4,Computer Science,State College,1975985
72.7,75.4,5269,Female,5,Electrical,State College,580448
96.0,95.7,661,Male,8,Computer Science,State College,1185521
81.0,77.6,45913,Male,3,Computer Science,State College,1148494
79.9,71.1,37393,Male,2,Mechanical,Private College,623371
77.2,71.3,34144,Male,3,Computer Science,State College,1127745
98.1,91.4,9255,Male,4,Computer Science,Private College,905122
95.6,95.7,5072,Female,10,Computer Science,State College,787940
83.0,85.1,8625,Male,10,Mechanical,State College,503701
86.5,78.0,80277,Male,5,Electronics,State College,1315760
84.7,72.3,11483,Male,4,Mechanical,State College,728301
96.6,95.7,5408,Female,10,Computer Science,NIT,2022699
80.8,86.4,3871,Male,4,Computer Science,State College,1599642
83.7,88.0,797,Female,4,Mechanical,Mid IIT,1067895
73.8,69.3,61095,Female,3,Computer Science,State College,1515373
82.9,82.3,14424,Female,5,Computer Science,State College,1300043
78.4,80.3,27894,Male,4,Mechanical,Private College,494605
77.6,80.0,1341,Male,5,Electrical,State College,250000
94.7,98.0,44,Female,5,Mechanical,Mid IIT,1810017
87.4,87.5,11799,Female,1,Electrical,State College,405085
93.0,93.0,7486,Male,4,Electrical,State College,381472
77.5,74.8,135321,Male,6,Electrical,State College,544362
71.8,67.1,81405,Male,2,Civil,State College,539825
99.0,96.0,135,Male,2,Computer Science,Private College,387630
80.8,71.1,9368,Female,3,Computer Science,State College,536327
87.9,93.5,3795,Male,9,Mechanical,State College,819340
96.0,96.6,2248,Female,4,Mechanical,Private College,964016
70.7,81.0,2573,Male,3,Electrical,State College,454213
85.3,84.4,9804,Female,8,Electronics,State College,1296075
73.8,76.3,26287,Male,6,Computer Science,Private College,325632
88.0,86.1,1683,Male,2,Electronics,Private College,769008
73.0,74.4,2615,Female,8,Electrical,State College,972073
95.7,96.6,795,Female,3,Electronics,State College,843300
78.4,77.4,13537,Male,6,Mechanical,State College,271610
87.4,84.1,1,Male,3,Computer Science,State College,1234720
69.8,73.6,46888,Male,8,Civil,State College,769180
87.4,85.5,8399,Male,4,Electrical,Private College,667714
80.8,84.0,13034,Male,4,Mechanical,State College,942081
77.7,80.5,160408,Male,5,Computer Science,NIT,1602060
68.3,72.4,15661,Male,6,Civil,State College,866179
74.6,71.6,16508,Female,3,Computer Science,State College,250000
94.2,90.5,7026,Male,2,Civil,Private College,775849
83.0,77.3,19743,Male,2,Civil,State College,488531
62.5,66.7,3630,Female,5,Computer Science,State College,1221057
77.0,82.5,2332,Male,5,Mechanical,Private College,293189
67.7,71.1,6293,Female,10,Computer Science,NIT,1513405
87.6,85.2,11997,Male,4,Mechanical,Mid IIT,470773
96.0,85.0,7098,Male,2,Electronics,State College,294527
90.2,80.1,149889,Female,7,Electrical,NIT,566213
89.3,82.1,32318,Female,5,Computer Science,State College,824758
71.4,70.9,95760,Male,3,Computer Science,NIT,1708989
90.5,86.8,1582,Male,4,Computer Science,NIT,1847700
80.8,89.0,5670,Male,2,Computer Science,State College,1032770
75.3,76.4,4861,Male,9,Computer Science,State College,1352775
80.0,71.5,34437,Female,8,Computer Science,NIT,1402494
89.2,85.2,11229,Male,3,Electrical,State College,870102
92.8,93.4,621,Male,5,Electrical,Mid IIT,888029
69.8,72.6,90771,Male,2,Computer Science,NIT,1191119
76.3,80.1,193806,Female,10,Electrical,State College,932891
72.9,76.2,1159,Male,7,Computer Science,Private College,1863457
75.9,71.3,27332,Male,10,Electrical,Private College,918720
77.9,70.9,104788,Female,2,Mechanical,Private College,442510
91.5,89.6,10622,Male,10,Civil,NIT,1167103
82.0,72.7,3913,Male,2,Computer Science,State College,409911
92.7,90.3,4750,Male,10,Mechanical,Mid IIT,1607750
75.5,74.4,69595,Male,2,Mechanical,State College,556559
78.1,73.7,121788,Female,3,Electrical,State College,424350
71.1,63.599999999999994,3069,Male,4,Computer Science,State College,250000
92.0,85.6,17885,Female,6,Civil,Private College,591600
99.0,85.8,12141,Male,7,Electrical,Mid IIT,2622573
96.0,95.0,810,Male,2,Civil,NIT,1129628
88.5,82.1,29482,Female,3,Computer Science,State College,250000
79.4,78.8,118836,Male,2,Computer Science,State College,804111
67.9,68.1,161741,Male,10,Electrical,State College,745938
77.7,75.8,10045,Male,3,Electrical,NIT,1626573
78.4,73.7,141549,Male,6,Electrical,State College,250000
86.3,81.0,11243,Male,3,Electrical,State College,1046239
76.2,74.9,39923,Female,3,Mechanical,State College,383853
70.5,69.6,250097,Female,10,Computer Science,State College,1195464
77.8,71.1,22999,Male,10,Computer Science,State College,1040494
72.4,72.1,22413,Male,8,Computer Science,State College,250000
72.7,72.6,13283,Female,6,Computer Science,State College,598272
81.8,82.9,91709,Male,6,Computer Science,State College,271076
88.5,83.6,229,Male,7,Mechanical,State College,1008713
96.0,98.3,1112,Female,3,Electronics,Top IIT,2206546
84.8,83.3,45202,Female,2,Mechanical,State College,576937
83.7,76.0,14391,Female,3,Computer Science,State College,1204199
77.8,72.4,7879,Male,4,Mechanical,State College,431015
81.5,68.4,43744,Female,3,Mechanical,Private College,250000
77.4,74.4,7925,Male,4,Computer Science,State College,724235
95.2,90.1,4372,Male,3,Mechanical,State College,421244
96.8,99.0,883,Female,3,Computer Science,State College,1926340
76.3,76.1,134004,Male,6,Electrical,State College,1642537
84.0,86.0,32885,Male,3,Electrical,State College,736337
83.3,82.1,10853,Male,7,Electrical,State College,650375
99.0,89.0,13252,Male,4,Computer Science,Mid IIT,2659397
77.9,81.1,6781,Male,4,Computer Science,State College,1523737
67.2,66.7,86828,Female,3,Mechanical,State College,250000
81.3,84.6,697,Male,10,Computer Science,NIT,845412
76.6,76.6,46575,Male,8,Electrical,State College,1117287
86.3,89.0,5683,Female,2,Electronics,State College,986845
66.9,70.3,114975,Male,3,Electrical,State College,841458
80.7,79.5,5012,Male,4,Mechanical,State College,262394
92.9,90.8,1817,Female,3,Computer Science,NIT,1524268
87.4,81.9,26642,Male,2,Computer Science,State College,1025496
87.9,79.6,3027,Female,6,Computer Science,State College,1070410
75.6,69.8,31492,Male,4,Mechanical,State College,703429
71.2,72.3,13277,Female,10,Electronics,NIT,2006782
72.4,70.7,18281,Male,4,Computer Science,State College,642590
82.0,83.9,132298,Female,3,Computer Science,NIT,2064847
74.2,67.6,708,Male,6,Mechanical,State College,648567
74.4,71.0,60165,Female,4,Mechanical,NIT,972215
83.5,80.6,57809,Male,2,Computer Science,State College,532198
76.6,80.4,32500,Male,9,Mechanical,State College,987953
75.7,78.5,34019,Male,4,Electronics,State College,619405
90.7,84.6,3911,Female,3,Mechanical,State College,378557
75.9,67.5,250302,Male,10,Computer Science,Private College,250000
85.7,80.9,4218,Male,4,Mechanical,State College,621147
86.3,83.9,687,Male,4,Computer Science,NIT,1748079
98.0,90.5,11487,Male,10,Electronics,State College,1325991
70.3,60.9,85195,Female,8,Mechanical,State College,990719
71.4,70.2,11115,Male,4,Electrical,State College,667284
73.2,69.9,55711,Male,4,Computer Science,State College,250000
88.3,87.5,976,Male,4,Mechanical,Private College,512970
76.0,75.9,17650,Male,5,Electrical,Private College,485294
71.2,77.1,9374,Female,4,Computer Science,State College,1559542
97.4,94.0,440,Female,2,Mechanical,Mid IIT,925579
76.6,73.7,38493,Female,7,Mechanical,State College,250000
82.6,82.3,125445,Male,2,Mechanical,State College,331748
75.8,79.6,2514,Male,5,Mechanical,Mid IIT,1655149
83.5,80.9,89190,Male,3,Computer Science,State College,1533553
76.2,70.0,27028,Female,8,Civil,NIT,1194183
80.4,80.7,5021,Female,5,Computer Science,State College,1897442
83.8,77.4,38166,Male,5,Computer Science,NIT,1940336
84.8,78.1,17585,Male,2,Computer Science,State College,268517
64.4,71.1,16387,Female,2,Mechanical,State College,465966
88.4,87.3,3478,Male,3,Computer Science,State College,830479
74.0,74.4,1314,Male,5,Computer Science,NIT,1906152
84.8,89.2,3643,Female,5,Mechanical,State College,723152
83.9,83.2,3585,Male,9,Civil,State College,660705
92.7,83.3,8304,Male,2,Computer Science,State College,1301816
85.0,84.3,68165,Male,7,Electrical,State College,1543166
71.4,77.0,1329,Male,3,Electrical,Private College,466161
78.2,78.8,12838,Female,10,Electrical,State College,824062
72.3,76.4,23954,Female,1,Computer Science,State College,250000
78.4,83.0,97895,Male,3,Mechanical,State College,537107
82.6,78.2,250125,Male,4,Electrical,State College,310104
86.9,81.3,14785,Female,2,Computer Science,State College,1590054
80.2,81.3,7119,Male,3,Mechanical,State College,701110
78.6,72.7,6484,Male,6,Electrical,State College,693489
83.3,79.2,2068,Female,4,Computer Science,State College,1269840
61.4,59.9,52759,Male,3,Electrical,State College,250000
76.7,72.4,10777,Male,1,Computer Science,State College,931941
87.5,91.0,109,Male,4,Computer Science,Private College,1175371
86.2,80.9,21932,Male,4,Computer Science,Private College,702932
73.3,70.7,5776,Male,2,Mechanical,State College,982908
82.5,85.2,1771,Female,9,Mechanical,NIT,2520461
82.4,78.5,1758,Male,2,Computer Science,NIT,1780989
91.4,93.2,543,Female,10,Computer Science,Mid IIT,3000000
80.4,78.6,181523,Male,3,Civil,State College,529887
83.0,76.7,15159,Male,6,Civil,Private College,780444
87.5,90.7,10043,Male,10,Civil,NIT,1545735
76.3,76.8,1094,Male,7,Computer Science,State College,687046
91.6,99.0,266,Male,9,Computer Science,Mid IIT,2200084
100.0,98.0,607,Female,4,Computer Science,Mid IIT,3000000
65.7,65.1,12471,Female,3,Computer Science,Private College,769320
70.7,65.8,40093,Male,4,Computer Science,State College,1445732
74.8,74.3,9073,Male,2,Computer Science,NIT,1036739
98.3,92.5,2376,Male,5,Mechanical,State College,1087036
66.1,69.1,1605,Male,4,Electrical,State College,784898
91.3,92.0,450,Male,6,Electrical,Mid IIT,1343612
81.5,84.8,12080,Male,4,Computer Science,NIT,2784408
68.7,67.6,981,Male,2,Computer Science,State College,682855
86.0,86.9,98102,Male,5,Electronics,NIT,1618329
77.2,77.4,1288,Female,3,Electrical,State College,250000
79.3,76.3,67591,Male,3,Mechanical,NIT,1100423
86.5,79.9,18824,Male,3,Mechanical,NIT,1058735
85.9,77.2,97624,Male,5,Electrical,State College,728101
80.6,79.0,23420,Female,5,Electrical,State College,1454939
80.6,75.7,70816,Male,4,Electrical,State College,880387
83.0,68.2,8234,Male,2,Computer Science,State College,621812
88.1,82.5,12700,Male,3,Civil,Mid IIT,1475032
83.3,72.4,9051,Female,3,Electrical,State College,517669
100.0,95.1,721,Male,2,Computer Science,State College,859731
78.2,84.0,249741,Male,2,Electrical,Private College,708767
90.0,88.5,4831,Male,1,Mechanical,NIT,1011400
88.1,82.9,6564,Male,1,Computer Science,State College,722116
69.8,70.3,32454,Male,4,Electrical,State College,978735
83.5,80.8,147147,Male,7,Electronics,NIT,2386373
77.7,73.6,185197,Male,3,Mechanical,Private College,632212
96.8,90.3,1834,Female,7,Mechanical,State College,863887
80.7,73.7,102659,Male,10,Computer Science,State College,1594375
77.0,73.5,13965,Male,5,Computer Science,State College,1315358
97.0,95.0,429,Male,8,Electrical,Mid IIT,2627483
85.1,86.1,7141,Male,4,Computer Science,State College,1014852
96.0,91.5,2227,Male,4,Mechanical,State College,842169
64.7,68.6,542,Female,3,Electrical,State College,510388
77.2,73.0,43205,Male,6,Civil,State College,734087
98.0,100.0,1110,Female,9,Mechanical,Top IIT,1833163
75.4,75.4,7239,Male,1,Computer Science,State College,792519
84.1,80.7,3482,Female,3,Computer Science,State College,918998
96.4,97.0,153,Male,7,Computer Science,Top IIT,3000000
89.8,91.4,1180,Male,4,Computer Science,State College,250000
75.3,77.5,6419,Male,4,Computer Science,Private College,663833
100.0,96.7,161,Female,6,Computer Science,State College,433927
77.7,78.3,18516,Male,3,Electronics,Private College,1065654
81.9,79.4,92728,Male,4,Electronics,State College,327345
80.9,72.9,3491,Female,8,Electrical,State College,365869
67.5,71.7,10593,Male,6,Mechanical,State College,657001
83.5,80.1,57845,Male,10,Electrical,State College,438934
88.7,85.5,8208,Male,4,Computer Science,State College,844016
87.0,86.3,29014,Male,4,Mechanical,State College,708992
96.7,94.0,746,Male,3,Electronics,NIT,743774
82.4,85.8,55762,Male,10,Computer Science,State College,2500205
80.8,78.4,11021,Male,2,Computer Science,NIT,1002653
71.1,70.6,62208,Male,6,Mechanical,State College,840692
80.9,91.4,10872,Male,8,Mechanical,State College,1041768
75.3,81.0,249955,Female,4,Electronics,NIT,2004472
76.2,70.9,3252,Female,10,Mechanical,NIT,1164428
98.0,90.3,3631,Female,8,Civil,NIT,1522743
85.9,81.3,19708,Female,1,Mechanical,State College,607818
77.7,72.3,105817,Male,3,Mechanical,State College,250000
59.0,63.0,78593,Female,2,Civil,State College,250000
80.1,79.6,52501,Male,1,Computer Science,State College,973586
70.6,68.1,249868,Male,3,Mechanical,NIT,962429
99.0,96.1,623,Female,4,Electrical,NIT,919120
79.4,73.0,12051,Female,9,Mechanical,State College,1268489
95.2,90.9,5854,Male,8,Electrical,State College,882151
68.1,68.5,56688,Male,8,Computer Science,State College,1311354
85.7,78.7,37540,Female,3,Computer Science,State College,1126749
87.6,86.8,3688,Male,8,Civil,Top IIT,2801501
76.0,79.3,942,Female,5,Computer Science,State College,963525
75.5,77.6,17161,Female,2,Civil,State College,925327
83.1,86.0,3089,Female,4,Electrical,State College,457643
85.5,83.6,19131,Female,2,Mechanical,State College,602404
72.0,70.4,8860,Male,3,Computer Science,NIT,1776084
82.6,75.7,7801,Male,6,Electronics,State College,736685
91.1,92.8,820,Male,3,Civil,Top IIT,1559512
80.8,72.2,77676,Male,5,Computer Science,State College,909768
85.5,89.9,5556,Male,9,Electrical,NIT,1542857
82.4,77.5,30187,Female,3,Computer Science,State College,1037396
74.4,78.1,46761,Male,8,Civil,NIT,1345907
90.1,89.9,71,Male,3,Computer Science,State College,1183006
72.7,71.0,27868,Female,5,Electrical,State College,1373432
78.7,75.8,4353,Male,3,Computer Science,State College,1117143
77.2,66.5,11209,Male,3,Computer Science,State College,797673
86.3,94.7,3194,Female,1,Electronics,State College,573606
76.9,73.6,500,Female,6,Electrical,NIT,250000
90.3,90.1,2010,Female,2,Computer Science,NIT,968373
95.3,92.2,1247,Male,8,Computer Science,State College,395304
72.0,69.7,16600,Male,9,Civil,Private College,566744
69.7,70.0,6576,Male,2,Electronics,State College,974188
79.6,77.8,13932,Male,2,Computer Science,NIT,648471
78.5,71.5,101758,Female,2,Mechanical,State College,1037925
75.9,74.8,36468,Male,3,Mechanical,State College,667387
89.4,86.1,249793,Male,9,Mechanical,State College,340180
75.4,72.7,28865,Male,10,Computer Science,State College,1180670
83.1,80.0,45463,Female,9,Electronics,State College,383070
90.5,92.2,17530,Male,3,Electrical,State College,693018
76.5,68.3,9501,Male,2,Computer Science,Private College,666648
73.1,74.3,1178,Male,3,Computer Science,State College,250000
79.2,75.5,60951,Female,4,Mechanical,State College,916891
78.6,73.9,24193,Male,4,Computer Science,NIT,937255
89.5,91.4,12360,Male,3,Mechanical,State College,460560
87.9,80.1,250413,Male,3,Computer Science,Mid IIT,1562457
89.4,90.8,2692,Male,3,Computer Science,State College,1158375
77.2,66.4,3200,Male,7,Computer Science,State College,1156942
71.1,71.8,6264,Male,3,Electrical,Private College,250000
83.3,82.7,30933,Female,4,Computer Science,State College,430995
65.7,72.8,63422,Female,4,Computer Science,Private College,250000
65.9,66.9,5202,Male,3,Computer Science,State College,1045057
70.1,66.6,49617,Male,9,Mechanical,NIT,1455609
75.0,76.3,43151,Male,9,Mechanical,State College,669491
80.6,80.5,2480,Male,10,Computer Science,NIT,1961606
99.0,95.0,425,Male,4,Computer Science,Mid IIT,2092046
86.4,72.5,85238,Male,6,Computer Science,State College,1064151
72.8,71.9,86209,Male,5,Mechanical,State College,421109
75.7,77.2,242047,Male,2,Civil,NIT,1061719
89.1,89.6,5583,Female,4,Computer Science,State College,1510474
79.1,70.4,27054,Female,1,Computer Science,State College,709162
98.0,89.9,16748,Female,10,Mechanical,Mid IIT,1990045
98.0,86.4,3179,Male,3,Civil,Private College,446923
93.9,88.1,1686,Male,2,Mechanical,State College,447623
84.7,86.1,4045,Male,9,Mechanical,State College,463774
98.8,97.5,4637,Male,6,Civil,NIT,647912
70.5,67.5,249848,Female,1,Electrical,State College,645280
92.4,92.6,3418,Female,10,Computer Science,State College,2667802
75.0,67.6,129864,Male,4,Computer Science,State College,808431
76.1,79.8,8530,Female,4,Computer Science,NIT,1564450
83.8,82.8,27861,Male,9,Electrical,State College,1512630
78.2,73.7,18804,Male,4,Electronics,State College,1052481
74.8,79.0,70585,Male,3,Civil,State College,719833
88.3,86.9,2700,Female,6,Computer Science,NIT,1128360
64.4,70.4,37993,Male,3,Electrical,State College,250000
87.6,86.1,6003,Male,3,Electronics,Mid IIT,350288
80.3,84.9,3728,Male,2,Civil,NIT,843524
77.7,78.6,113620,Male,5,Electrical,State College,912593
81.9,84.3,52991,Female,2,Computer Science,NIT,1557127
78.0,76.3,6189,Male,8,Computer Science,State College,1614835
79.6,85.9,5316,Male,2,Electrical,NIT,1020215
97.0,97.0,386,Male,4,Computer Science,State College,959219
74.9,74.9,17229,Female,3,Computer Science,State College,1185002
78.3,78.9,665,Female,5,Computer Science,State College,1567272
73.7,75.4,44722,Male,3,Electrical,State College,250000
73.4,76.7,2773,Male,3,Computer Science,NIT,1339348
89.6,85.4,12657,Male,10,Civil,Mid IIT,939135
77.6,75.6,8214,Male,3,Electrical,NIT,1542155
85.7,83.0,5542,Female,10,Electrical,State College,783694
71.2,74.7,45212,Female,5,Mechanical,State College,430399
99.9,93.7,1218,Female,7,Electronics,Mid IIT,1510253
85.0,82.4,90344,Male,1,Electronics,State College,576983
73.3,79.8,27741,Male,6,Computer Science,State College,1013398
87.2,87.3,4989,Female,5,Mechanical,State College,1322718
65.0,61.2,44211,Male,2,Computer Science,State College,1262470
83.8,82.9,636,Male,3,Mechanical,NIT,1002759
82.1,90.1,5160,Male,6,Computer Science,NIT,1989742
81.1,79.6,12982,Female,5,Electronics,NIT,1177185
93.2,94.2,100,Male,4,Mechanical,NIT,607782
91.1,86.3,7616,Male,5,Computer Science,NIT,2199295
76.1,64.1,249644,Female,6,Mechanical,State College,1296339
99.0,91.3,442,Male,1,Civil,State College,398015
75.9,73.9,107660,Female,1,Computer Science,State College,810586
85.0,90.6,4656,Female,7,Mechanical,State College,627332
87.6,90.5,7359,Male,3,Computer Science,State College,741777
89.4,88.0,6836,Male,4,Computer Science,State College,578515
95.5,91.7,529,Female,1,Computer Science,State College,1532141
84.1,77.5,8330,Male,6,Computer Science,State College,1530007
69.4,71.7,43518,Male,8,Computer Science,State College,1031615
76.0,80.3,5343,Male,4,Computer Science,NIT,1792342
79.8,84.1,1061,Female,4,Civil,Mid IIT,1543555
76.0,72.8,3057,Male,5,Computer Science,State College,1108186
72.9,66.7,12407,Female,6,Civil,State College,906862
85.6,88.0,1150,Male,2,Mechanical,NIT,1118095
92.7,88.8,4622,Female,3,Computer Science,State College,800317
74.7,82.3,49207,Male,3,Electronics,State College,761432
66.4,58.3,88964,Male,8,Electrical,State College,1503513
73.4,64.0,15526,Male,6,Electrical,State College,867222
90.2,88.5,4350,Male,3,Computer Science,NIT,1473789
86.2,82.6,9573,Male,3,Civil,State College,524269
78.8,74.5,250227,Male,3,Mechanical,NIT,974430
76.1,78.4,45207,Female,4,Mechanical,State College,368746
87.5,91.5,61,Female,4,Computer Science,Mid IIT,2550085
78.2,77.6,11700,Male,6,Computer Science,State College,431615
82.8,76.3,12265,Female,7,Mechanical,State College,562722
79.9,70.4,33137,Female,4,Computer Science,NIT,1520273
82.4,85.2,5733,Male,5,Computer Science,State College,1316053
72.0,73.2,91702,Male,7,Electrical,State College,890277
88.1,86.9,4040,Female,3,Electrical,State College,250000
80.9,80.4,21175,Male,1,Mechanical,State College,717478
71.2,66.8,14635,Female,6,Mechanical,State College,1424810
80.0,71.2,3068,Female,5,Electrical,Private College,250000
65.3,66.6,1460,Female,2,Mechanical,State College,468923
82.8,78.1,37325,Male,2,Electrical,State College,412999
76.2,74.1,16792,Male,4,Civil,NIT,1309382
84.4,76.8,17663,Male,2,Mechanical,State College,932913
96.0,96.7,2202,Male,6,Computer Science,State College,883609
74.8,75.5,6932,Male,4,Electronics,NIT,1994965
81.9,79.0,5318,Male,6,Electrical,State College,451907
97.0,89.5,538,Female,2,Computer Science,Mid IIT,1903761
96.2,87.4,2192,Male,4,Electronics,State College,824685
79.1,70.7,39366,Male,10,Mechanical,State College,313410
78.1,71.8,249778,Male,2,Electronics,NIT,871208
96.7,96.0,417,Male,2,Computer Science,State College,545159
81.6,79.9,8212,Male,5,Computer Science,State College,626534
82.7,89.0,1162,Male,2,Mechanical,State College,770344
83.6,75.7,33790,Female,2,Civil,State College,866062
96.0,97.8,1502,Female,3,Civil,NIT,1106886
98.0,89.6,14012,Male,1,Mechanical,State College,412061
84.7,91.5,5355,Female,3,Electrical,State College,742054
75.2,65.8,84735,Female,6,Computer Science,Private College,452471
91.3,93.3,1,Male,10,Computer Science,Mid IIT,2689639
90.5,96.7,229,Male,10,Electrical,NIT,1912262
66.5,69.9,9315,Female,3,Electronics,State College,250000
88.7,83.6,250045,Male,6,Mechanical,NIT,1697566
78.1,84.4,9196,Male,2,Computer Science,NIT,1665443
90.3,86.6,10430,Male,2,Computer Science,Private College,493131
82.1,80.3,51659,Female,6,Computer Science,State College,1391751
84.4,79.1,92070,Male,8,Computer Science,State College,1711714
92.6,98.0,1614,Male,3,Mechanical,NIT,998745
59.5,63.3,9084,Male,1,Electrical,State College,535861
77.5,76.0,6551,Male,4,Electrical,NIT,1035456
78.1,72.2,20757,Male,3,Mechanical,State College,605332
73.3,72.7,3397,Male,3,Mechanical,NIT,1072524
97.3,93.1,582,Male,3,Electrical,Mid IIT,1576171
82.9,80.4,7021,Male,3,Mechanical,State College,250000
79.4,79.2,72624,Male,7,Electrical,State College,1243011
72.5,79.4,2408,Male,2,Civil,State College,569842
80.7,75.9,31540,Female,2,Electrical,State College,564720
91.7,100.0,909,Female,8,Mechanical,Top IIT,2254021
77.2,86.5,1536,Female,4,Computer Science,Mid IIT,1124982
87.0,79.2,125714,Female,10,Computer Science,State College,298598
100.0,93.1,576,Male,3,Electrical,NIT,1394726
94.3,93.0,1672,Female,4,Computer Science,NIT,2128391
65.3,63.3,18113,Male,3,Computer Science,State College,1567212
81.7,80.1,2997,Female,9,Computer Science,State College,1566399
80.5,75.1,18691,Female,3,Computer Science,State College,745079
79.5,72.8,20391,Female,2,Electrical,State College,794056
78.8,80.6,1251,Male,2,Electrical,State College,807333
71.3,70.2,6449,Male,2,Computer Science,State College,680882
76.2,76.9,159,Female,3,Electronics,NIT,696801
80.1,86.6,5048,Female,10,Computer Science,State College,1848606
78.6,79.6,63979,Male,7,Computer Science,Private College,572466
73.1,78.6,26258,Male,4,Civil,State College,822743
71.0,67.0,86343,Male,6,Mechanical,State College,388413
82.7,86.5,29427,Female,1,Electronics,NIT,759686
83.9,82.9,15432,Male,2,Computer Science,State College,1304889
81.1,79.9,43346,Male,8,Civil,State College,992083
85.1,86.8,4390,Male,4,Computer Science,State College,1674012
94.5,94.4,16301,Female,2,Electrical,NIT,1143893
89.4,85.5,5021,Female,10,Electrical,State College,250000
72.6,73.9,2271,Male,4,Computer Science,Private College,1104128
89.3,90.2,882,Male,4,Electrical,NIT,601194
85.5,89.4,899,Male,4,Computer Science,State College,590471
78.5,76.7,250166,Female,8,Computer Science,State College,1385438
92.7,94.3,251,Female,8,Computer Science,NIT,1847225
78.4,78.9,23966,Male,5,Electrical,State College,1225527
84.6,76.1,200937,Female,2,Civil,NIT,755727
82.9,70.9,9293,Male,1,Mechanical,State College,361590
88.1,89.0,2332,Male,6,Computer Science,State College,1706382
89.3,80.6,11414,Female,5,Computer Science,State College,1102109
75.5,77.2,1740,Female,4,Computer Science,NIT,1076901
89.0,86.2,3044,Male,5,Computer Science,State College,754940
72.8,82.3,21468,Male,5,Mechanical,State College,715060
100.0,96.3,7153,Female,5,Electronics,State College,785857
94.0,99.0,1368,Male,6,Computer Science,State College,1083781
84.3,82.0,159289,Male,3,Mechanical,State College,529151
80.1,83.7,10462,Male,4,Electrical,State College,465512
78.2,82.3,12003,Male,2,Mechanical,State College,403518
62.3,66.1,50871,Male,3,Electronics,State College,250000
87.2,94.0,10562,Female,4,Civil,Private College,579064
96.0,99.0,257,Female,9,Electrical,Mid IIT,2783772
76.1,73.6,171349,Female,3,Mechanical,State College,704319
82.6,77.9,7085,Female,2,Electronics,State College,863860
70.6,64.2,250053,Male,3,Computer Science,Private College,440472
86.9,86.7,377,Male,2,Civil,State College,250000
73.4,70.8,117122,Female,10,Computer Science,State College,886952
86.0,81.9,9361,Female,6,Mechanical,State College,678068
66.9,68.1,76958,Female,6,Computer Science,State College,1165002
72.0,74.3,5361,Female,3,Computer Science,State College,1816417
96.7,97.0,296,Female,3,Electronics,Mid IIT,1687606
66.7,65.8,249602,Female,7,Mechanical,Private College,632337
72.4,78.6,22733,Male,1,Computer Science,NIT,1507263
93.7,81.9,29619,Male,2,Computer Science,State College,1364344
74.6,69.2,69801,Male,6,Electrical,Private College,568207
74.8,78.0,6805,Female,1,Electronics,State College,295819
99.0,97.8,1768,Female,3,Mechanical,State College,769317
79.6,78.3,2177,Male,10,Civil,Mid IIT,1655408
75.8,77.9,20153,Male,5,Computer Science,NIT,1756530
82.2,88.1,6279,Male,6,Computer Science,State College,799862
87.4,88.0,1894,Male,6,Mechanical,NIT,1312310
98.0,94.7,3922,Female,4,Mechanical,State College,905818
98.6,86.7,3050,Male,3,Electronics,Top IIT,2368209
68.2,67.1,45893,Female,4,Electrical,Private College,671432
91.7,91.3,4111,Male,5,Electronics,State College,367072
98.0,94.9,267,Female,7,Mechanical,Top IIT,1073478
78.5,82.2,8170,Female,2,Mechanical,State College,480999
94.2,85.4,3229,Male,8,Computer Science,NIT,2866849
81.6,75.6,3841,Male,4,Electrical,State College,812129
74.7,71.2,74750,Female,8,Computer Science,State College,1388890
78.5,77.4,40071,Male,6,Electrical,State College,1424610
77.1,70.0,13404,Female,7,Computer Science,State College,544694
80.6,75.6,29276,Male,9,Civil,State College,770909
73.3,79.4,10335,Female,3,Mechanical,State College,615208
100.0,89.7,2404,Male,7,Computer Science,State College,1374889
74.4,76.6,63072,Male,7,Computer Science,State College,1069274
61.5,63.6,780,Female,3,Computer Science,State College,1734482
98.0,98.0,958,Female,4,Computer Science,State College,250000
